r0(um)  R0(um)  Xu      H0(Gs)  b(um)   CatchingRadius(um)
12.5    125     1.6870000000000003e-05  3500    0.1     135.0
12.5    125     1.6870000000000003e-05  7000    0.1     135.0
12.5    125     1.6870000000000003e-05  3500    0.5     135.0
12.5    125     1.6870000000000003e-05  7000    0.5     135.0
12.5    125     1.6870000000000003e-05  3500    1.0     135.0
12.5    125     1.6870000000000003e-05  7000    1.0     135.0
12.5    125     1.6870000000000003e-05  3500    3.0     181.25
12.5    125     1.6870000000000003e-05  7000    3.0     181.25
12.5    125     1.6870000000000003e-05  3500    5.0     243.75
12.5    125     1.6870000000000003e-05  7000    5.0     243.75
12.5    125     1.6870000000000003e-05  3500    10.0    281.25
12.5    125     1.6870000000000003e-05  7000    10.0    281.25
